ID,TalkMove_Pred,Transcript,Turn,Sentence,TalkMove_Truth
113,None,TalkBack.Year1.Benson.Fall.121019,59,I was going to say This is not the right page,None
114,None,TalkBack.Year1.Benson.Fall.121019,59,Thats so interesting that it has,None
116,None,TalkBack.Year1.Benson.Fall.121019,61,Thank you,None
117,None,TalkBack.Year1.Benson.Fall.121019,61,Theyre having to look back at that page and I think I copied the wrong one onto the screen,None
118,None,TalkBack.Year1.Benson.Fall.121019,61,Sorry about that,None
119,None,TalkBack.Year1.Benson.Fall.121019,61,Lets get the right page up,None
121,None,TalkBack.Year1.Benson.Fall.121019,63,Its thinking,None
123,None,TalkBack.Year1.Benson.Fall.121019,65,Its really thinking and thinking and thinking,None
124,None,TalkBack.Year1.Benson.Fall.121019,65,Well have to use the book,None
126,None,TalkBack.Year1.Benson.Fall.121019,67,All right,None
127,None,TalkBack.Year1.Benson.Fall.121019,67,Here is the correct page so when I ask us whats different about this problem it makes more sense now,None
128,None,TalkBack.Year1.Benson.Fall.121019,67,Were doing twodigit numbers times twodigit numbers whereas before we were doing twodigit numbers times a onedigit number,None
129,None,TalkBack.Year1.Benson.Fall.121019,67,All right someone who has theirs drawn and feels pretty confident about their work the way they worked that problem with a partition rectangle raise your hand if you feel pretty confident and you wanted to come share,None
130,None,TalkBack.Year1.Benson.Fall.121019,67,Carson you want to bring your book up here,Keeping Everyone Together
131,None,TalkBack.Year1.Benson.Fall.121019,67,You lay your book right on top of mine and we should be able to see it really well,None
132,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,67,Can you talk us through what you did,Pressing for Accuracy
135,None,TalkBack.Year1.Benson.Fall.121019,69,Oh look at that revision right there good job lady,None
136,None,TalkBack.Year1.Benson.Fall.121019,69,It helps to talk yourself through it doesnt it,Keeping Everyone Together
137,None,TalkBack.Year1.Benson.Fall.121019,69,So your answer will change a little bit wont it,Keeping Everyone Together
138,None,TalkBack.Year1.Benson.Fall.121019,69,Im glad you saw that and we didnt have to correct you,None
141,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,71,Any disagreements with how Carson set up her partition rectangle,Getting Students to Relate to Another's Ideas
142,None,TalkBack.Year1.Benson.Fall.121019,71,Jesse,Keeping Everyone Together
144,None,TalkBack.Year1.Benson.Fall.121019,73,She just talked you through,None
145,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,73,What did you do differently,Getting Students to Relate to Another's Ideas
147,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,75,Did you forget to add 2 zeros,Keeping Everyone Together
149,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,77,Do you see where your revision would happen,Keeping Everyone Together
150,None,TalkBack.Year1.Benson.Fall.121019,77,Okay,None
151,None,TalkBack.Year1.Benson.Fall.121019,77,Anyone else have a different response,Getting Students to Relate to Another's Ideas
152,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,77,Anyone do it differently as far as the partition rectangle goes,Getting Students to Relate to Another's Ideas
153,None,TalkBack.Year1.Benson.Fall.121019,77,Everyone on the count of three were going to give Carson a big excellent,None
154,None,TalkBack.Year1.Benson.Fall.121019,77,One two three,None
156,None,TalkBack.Year1.Benson.Fall.121019,79,Thank you,None
157,None,TalkBack.Year1.Benson.Fall.121019,79,My book is still up there so you wont see the partition rectangle anymore,None
158,None,TalkBack.Year1.Benson.Fall.121019,79,Who got all the way to doing it partial product way,Keeping Everyone Together
159,None,TalkBack.Year1.Benson.Fall.121019,79,Anyone feel pretty confident about how they did it and would be willing to share,Pressing for Accuracy
160,None,TalkBack.Year1.Benson.Fall.121019,79,These hands went Matt feeling confident,Keeping Everyone Together
161,None,TalkBack.Year1.Benson.Fall.121019,79,Put your book right on top of mine and well be able to see what youre doing,None
169,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,81,Anyone do it differently,Getting Students to Relate to Another's Ideas
170,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,81,Dakota do you have a different answer or did you just do the process differently,Getting Students to Relate to Another's Ideas
172,None,TalkBack.Year1.Benson.Fall.121019,83,Okay thank you,None
173,None,TalkBack.Year1.Benson.Fall.121019,83,Lets give Matt a yeehaw,None
174,None,TalkBack.Year1.Benson.Fall.121019,84,Yeehaw,None
175,None,TalkBack.Year1.Benson.Fall.121019,85,Thank you Matt for being brave,None
176,None,TalkBack.Year1.Benson.Fall.121019,85,All right Dakota go show us what you did differently,None
177,None,TalkBack.Year1.Benson.Fall.121019,85,It takes a lot of courage to go up there,None
179,Restating,TalkBack.Year1.Benson.Fall.121019,87,Times 20 thank you,Restating
182,Revoicing,TalkBack.Year1.Benson.Fall.121019,89,So you did it right underneath the way that they kind of modeled for us,Keeping Everyone Together
184,Keeping Everyone Together,TalkBack.Year1.Benson.Fall.121019,91,Everyone understand and agree,Getting Students to Relate to Another's Ideas
185,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,91,Any disagreements on how Matt or Dakota solved their problem,Getting Students to Relate to Another's Ideas
187,None,TalkBack.Year1.Benson.Fall.121019,93,Lets give her a shhshhshhshhshh your great,None
188,None,TalkBack.Year1.Benson.Fall.121019,94,Shhshhshhshhshh your great,None
189,None,TalkBack.Year1.Benson.Fall.121019,95,Thank you for sharing,None
190,None,TalkBack.Year1.Benson.Fall.121019,95,All right my friends,None
191,None,TalkBack.Year1.Benson.Fall.121019,95,Were going to do a couple of practice questions,None
192,None,TalkBack.Year1.Benson.Fall.121019,95,Take out your whiteboard,None
193,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,96,Please show me a partition rectangle for the problem 30 times 87 on your whiteboard,None
194,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,96,A partition rectangle of 30 and 87,None
195,Keeping Everyone Together,TalkBack.Year1.Benson.Fall.121019,97,All right what I want you to do is look at your face partner,None
196,None,TalkBack.Year1.Benson.Fall.121019,97,Carson come,None
197,None,TalkBack.Year1.Benson.Fall.121019,97,You guys be just a group of three,None
198,None,TalkBack.Year1.Benson.Fall.121019,97,Actually Dallas will you go be Carsons face partner a little bit,None
199,None,TalkBack.Year1.Benson.Fall.121019,97,face partner on the table and one of yours is Lisa,None
200,None,TalkBack.Year1.Benson.Fall.121019,97,You be partners with Megan,None
201,None,TalkBack.Year1.Benson.Fall.121019,97,Please go quick or Carson you can go there,None
202,None,TalkBack.Year1.Benson.Fall.121019,97,It might be easier if you can go up there,None
203,Keeping Everyone Together,TalkBack.Year1.Benson.Fall.121019,97,I want you to take your whiteboard and swap with your face partner,None
204,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,97,I want you to analyze all these little problems,None
205,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,97,If you disagree I want you to talk about what you didnt do or if you have questions about what they did,None
206,Keeping Everyone Together,TalkBack.Year1.Benson.Fall.121019,98,Can you listen to directions first so you know what you need to do,None
207,None,TalkBack.Year1.Benson.Fall.121019,98,Thank you,None
208,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,98,Analyze what your partner did,None
209,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,98,See if you can follow the steps that they took,None
210,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,98,Make sure you agree with them,None
211,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,98,If you disagree or youre confused on what steps they took I want you to ask them about it,None
212,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,98,Why did you write 240,Pressing for Reasoning
213,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,98,Why did you write 180,Pressing for Reasoning
214,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,98,Why did you add these numbers together,Pressing for Reasoning
215,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,98,I dont understand how you can put your rectangle,None
216,None,TalkBack.Year1.Benson.Fall.121019,98,Those are the kinds of questions I want you to be asking each other,None
217,Keeping Everyone Together,TalkBack.Year1.Benson.Fall.121019,98,If you totally agree I want you to describe what your partner did,None
218,None,TalkBack.Year1.Benson.Fall.121019,98,I see that you split your rectangle into blah blah blah because Talk through your problems,None
219,None,TalkBack.Year1.Benson.Fall.121019,98,Make sure you give your partner  that,None
220,None,TalkBack.Year1.Benson.Fall.121019,98,Thank you for  to explain,None
221,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,98,I would like Jesse and Faith to come and explain how they did their problem,Pressing for Accuracy
222,None,TalkBack.Year1.Benson.Fall.121019,98,I need you to come up and you can just show on your whiteboard if you want,None
223,None,TalkBack.Year1.Benson.Fall.121019,98,You can write on my whiteboard if you want,None
224,None,TalkBack.Year1.Benson.Fall.121019,98,Is that marker not working,None
228,None,TalkBack.Year1.Benson.Fall.121019,100,Did you really,Keeping Everyone Together
230,None,TalkBack.Year1.Benson.Fall.121019,102,All right where,Pressing for Accuracy
231,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,102,How,Pressing for Accuracy
232,None,TalkBack.Year1.Benson.Fall.121019,104,Keep that,None
233,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,104,What did you notice that Faith did while she was reworking her problem,Getting Students to Relate to Another's Ideas
234,None,TalkBack.Year1.Benson.Fall.121019,104,Because this is really what she had on her original whiteboard and Richard had on his original whiteboard,None
235,Getting Students to Relate to Another's Ideas,TalkBack.Year1.Benson.Fall.121019,104,What did she do as she was working through the second time Jocelyn,Getting Students to Relate to Another's Ideas
21,Revoicing,TalkBack.Year1.Benson.Fall.121019,7,Youre comparing,Keeping Everyone Together
23,None,TalkBack.Year1.Benson.Fall.121019,9,Start again,None
24,None,TalkBack.Year1.Benson.Fall.121019,9,I have no idea what you just said,None
25,None,TalkBack.Year1.Benson.Fall.121019,9,You said what,Keeping Everyone Together
26,Revoicing,TalkBack.Year1.Benson.Fall.121019,10,Yes but youre  Its just picking out different areas,None
27,None,TalkBack.Year1.Benson.Fall.121019,10,You have about another minute and a half,None
29,None,TalkBack.Year1.Benson.Fall.121019,12,30 more seconds,None
30,None,TalkBack.Year1.Benson.Fall.121019,12,Both of those different problems,None
31,None,TalkBack.Year1.Benson.Fall.121019,12,Show me on your fingers if you need more time,None
32,None,TalkBack.Year1.Benson.Fall.121019,12,How many minutes do you need,None
33,None,TalkBack.Year1.Benson.Fall.121019,12,Five is not going to happen,None
34,None,TalkBack.Year1.Benson.Fall.121019,12,Two and three so Ill give about two and a half more,None
35,None,TalkBack.Year1.Benson.Fall.121019,12,Hustle up,None
36,None,TalkBack.Year1.Benson.Fall.121019,13,Okay,None
37,None,TalkBack.Year1.Benson.Fall.121019,13,Times up,None
38,None,TalkBack.Year1.Benson.Fall.121019,13,Lets see what you got two,None
39,None,TalkBack.Year1.Benson.Fall.121019,13,All right who did pink problems,Keeping Everyone Together
40,None,TalkBack.Year1.Benson.Fall.121019,13,Okay so,None
41,None,TalkBack.Year1.Benson.Fall.121019,13,4 times 50,Pressing for Accuracy
43,None,TalkBack.Year1.Benson.Fall.121019,15,30 times 7,Pressing for Accuracy
237,None,TalkBack.Year1.Benson.Fall.121019,106,But as she was working it did she actually do it right the first time,Getting Students to Relate to Another's Ideas
239,None,TalkBack.Year1.Benson.Fall.121019,108,She did,Revoicing
240,None,TalkBack.Year1.Benson.Fall.121019,108,Thats why I said Really you did,None
241,None,TalkBack.Year1.Benson.Fall.121019,108,because when you first worked it you just added one zero but when you worked it the second time you actually did it right,None
242,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,108,How many extra zeros are in the  problem,Pressing for Accuracy
244,None,TalkBack.Year1.Benson.Fall.121019,110,When you started working it the second time you realized that actually should have two zeros because eight times three is 24 but with an extra 10 here and another extra 10 here theres only going to be two zeros,Revoicing
245,None,TalkBack.Year1.Benson.Fall.121019,110,Every single person except for You missed that the first time right Pat,Keeping Everyone Together
246,None,TalkBack.Year1.Benson.Fall.121019,110,Most of you are being really careful to make sure you add the zeros on,None
247,None,TalkBack.Year1.Benson.Fall.121019,110,It makes a huge difference,None
248,None,TalkBack.Year1.Benson.Fall.121019,110,2400 is not very close to 240 is it,Keeping Everyone Together
250,None,TalkBack.Year1.Benson.Fall.121019,112,Makes a huge difference on the total amount of your product when you finally add everything together,None
251,None,TalkBack.Year1.Benson.Fall.121019,112,That was really cool to watch you,None
252,None,TalkBack.Year1.Benson.Fall.121019,112,You had it and then I asked you and you were like Oh wait wait,None
253,None,TalkBack.Year1.Benson.Fall.121019,112,No,None
254,None,TalkBack.Year1.Benson.Fall.121019,112,Joel thank you,None
256,None,TalkBack.Year1.Benson.Fall.121019,114,Then when I walked by it was like,None
258,None,TalkBack.Year1.Benson.Fall.121019,116,Yes you can use your whiteboard,None
259,None,TalkBack.Year1.Benson.Fall.121019,116,Thank you guys lets give them a roller coaster,None
260,None,TalkBack.Year1.Benson.Fall.121019,117,there you go,None
263,None,TalkBack.Year1.Benson.Fall.121019,120,2610 is very different than 500something isnt,Keeping Everyone Together
266,None,TalkBack.Year1.Benson.Fall.121019,122,Can I draw the columns for you,None
267,None,TalkBack.Year1.Benson.Fall.121019,122,See thats the problem when you dont have your numbers in columns there you go,None
269,None,TalkBack.Year1.Benson.Fall.121019,124,up for me a little bit there you go,None
271,None,TalkBack.Year1.Benson.Fall.121019,126,Give it a high thumbs up if you got 2610,Getting Students to Relate to Another's Ideas
272,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,126,If you didnt get that if your high thumbs up isnt out do you realize what you needed to make it correct and accurate,Keeping Everyone Together
273,None,TalkBack.Year1.Benson.Fall.121019,126,Thank you guys for sharing lets give them,None
274,None,TalkBack.Year1.Benson.Fall.121019,127,Thank you so much,None
275,None,TalkBack.Year1.Benson.Fall.121019,127,All right lets look at your math journal page 130,None
276,None,TalkBack.Year1.Benson.Fall.121019,128,Lets look at problem number two,None
277,None,TalkBack.Year1.Benson.Fall.121019,128,With 34 on the bottom and 17 the side,None
278,None,TalkBack.Year1.Benson.Fall.121019,128,This changes things a little bit because if we look at what we had before we had 20 and 34 it was easy to split our 34 into 30 plus 4,None
279,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,128,Whats different about our second number that were multiplying together,Pressing for Accuracy
280,None,TalkBack.Year1.Benson.Fall.121019,128,Clayton,Keeping Everyone Together
282,Revoicing,TalkBack.Year1.Benson.Fall.121019,130,Yes its not just the multiple of 10 is it,Keeping Everyone Together
283,None,TalkBack.Year1.Benson.Fall.121019,130,17 isnt a multiple of 10 is it,Keeping Everyone Together
285,None,TalkBack.Year1.Benson.Fall.121019,132,Not a 10 20 30 40 easy number to multiply together so you might need to put that and create four boxes,None
286,None,TalkBack.Year1.Benson.Fall.121019,132,Im actually going to move my 17 to the other side to make it a little bit easier,None
287,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,132,The 3 in 34 is worth what,Pressing for Accuracy
289,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,134,30 the 4 in 34 is worth what,Pressing for Accuracy
291,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,136,Zach what is the 1 in 17 worth,Pressing for Accuracy
293,None,TalkBack.Year1.Benson.Fall.121019,138,on the top row,None
294,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,138,Jasper what is the 7 is 17 worth,Pressing for Accuracy
296,Restating,TalkBack.Year1.Benson.Fall.121019,140,Seven,Restating
297,None,TalkBack.Year1.Benson.Fall.121019,140,I just have more multiplication problems to do now,None
298,None,TalkBack.Year1.Benson.Fall.121019,140,Im going to kind of like what you guys were doing remember that weird table we had to use when we were doing weird math where you had to bring the two together,Keeping Everyone Together
299,None,TalkBack.Year1.Benson.Fall.121019,140,Right here in this box Im going to zoom this in as much as I can without making it too blurry,None
300,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,140,In this box right here what multiplication fact am I going to do,Pressing for Accuracy
302,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,142,What is 30 times 10,Pressing for Accuracy
304,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,144,Not plus,None
305,None,TalkBack.Year1.Benson.Fall.121019,144,Chandler,Keeping Everyone Together
307,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,146,30 times 10,Pressing for Accuracy
309,Restating,TalkBack.Year1.Benson.Fall.121019,148,300 sir youre correct,Revoicing
310,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,148,In the box right below it what multiplication problem am I going to solve,Pressing for Accuracy
311,None,TalkBack.Year1.Benson.Fall.121019,148,Joel,Keeping Everyone Together
313,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,150,What is 30 times 7,Pressing for Accuracy
314,None,TalkBack.Year1.Benson.Fall.121019,150,David,Keeping Everyone Together
316,None,TalkBack.Year1.Benson.Fall.121019,152,I have more multiplication problems to solve,None
317,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,152,What is 4 times 10,Pressing for Accuracy
319,None,TalkBack.Year1.Benson.Fall.121019,154,Joel,Keeping Everyone Together
321,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,156,40 and then whats the multiplication problem for this last box,Pressing for Accuracy
351,None,TalkBack.Year1.Benson.Fall.121019,173,I need to multiply that times the value of this digit right here which is,Pressing for Accuracy
353,None,TalkBack.Year1.Benson.Fall.121019,175,10 Im done here,Revoicing
354,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,175,Now Im going to take this value of this digit which was what,Pressing for Accuracy
356,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,177,30 and I have to multiply it here whats the value of this digit,Pressing for Accuracy
358,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,179,Seven Im done with Uh uh I need to take the value of this digit what was that,Pressing for Accuracy
361,None,TalkBack.Year1.Benson.Fall.121019,182,Its worth 10,Revoicing
362,None,TalkBack.Year1.Benson.Fall.121019,182,I need to multiply here,None
363,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,182,Whats this digit worth,Pressing for Accuracy
366,None,TalkBack.Year1.Benson.Fall.121019,185,I need to do this last one,None
367,None,TalkBack.Year1.Benson.Fall.121019,185,The value of this times this is,Pressing for Accuracy
369,None,TalkBack.Year1.Benson.Fall.121019,187,I can multiplytwodigitstimestwodigits,None
370,None,TalkBack.Year1.Benson.Fall.121019,187,Okay,None
371,None,TalkBack.Year1.Benson.Fall.121019,187,Once you get all your facts sorted out then you could find the answers to them and you add them all together,None
372,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,187,What is 3 times 1,Pressing for Accuracy
374,None,TalkBack.Year1.Benson.Fall.121019,189,3 times 1 is 3 and I have two extra zeros on the end of that 73,Revoicing
375,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,189,What is 3 times 7,Pressing for Accuracy
378,None,TalkBack.Year1.Benson.Fall.121019,192,Along with an extra zero,None
379,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,192,10 times 4,None
381,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,194,7 times 4,Pressing for Accuracy
383,None,TalkBack.Year1.Benson.Fall.121019,196,Add them all together making sure all of your columns are appropriately lined up,None
384,None,TalkBack.Year1.Benson.Fall.121019,196,I have a feeling youre going to get a very common answer with your,None
386,None,TalkBack.Year1.Benson.Fall.121019,198,again,None
388,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,200,Do these two things match,Pressing for Accuracy
390,None,TalkBack.Year1.Benson.Fall.121019,202,You did was effective,None
391,None,TalkBack.Year1.Benson.Fall.121019,202,Okay,None
392,None,TalkBack.Year1.Benson.Fall.121019,202,Youre going to practice trying the partial product,None
393,None,TalkBack.Year1.Benson.Fall.121019,202,It does not matter what order you do them in as long as all values get multiplied times each other,None
394,None,TalkBack.Year1.Benson.Fall.121019,202,Never going straight across,None
395,None,TalkBack.Year1.Benson.Fall.121019,202,We dont break 80 and 7 into Looks like this,None
396,None,TalkBack.Year1.Benson.Fall.121019,202,Beside each other because thats part of your number,None
397,None,TalkBack.Year1.Benson.Fall.121019,202,Just think about  Okay,Keeping Everyone Together
398,None,TalkBack.Year1.Benson.Fall.121019,202,Try it,None
399,None,TalkBack.Year1.Benson.Fall.121019,202,If you get stuck imagine what youre doing thousands of numbers and we come look over here to  how they did it,None
400,None,TalkBack.Year1.Benson.Fall.121019,202,Have at it,None
401,None,TalkBack.Year1.Benson.Fall.121019,202,This is on your own,None
402,None,TalkBack.Year1.Benson.Fall.121019,202,Okay,None
403,None,TalkBack.Year1.Benson.Fall.121019,203,Yes you may have your snacks,None
45,None,TalkBack.Year1.Benson.Fall.121019,17,70 times 8,Pressing for Accuracy
48,None,TalkBack.Year1.Benson.Fall.121019,20,I hear you thinking,None
49,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,20,Basic facts with what,Pressing for Accuracy
50,None,TalkBack.Year1.Benson.Fall.121019,21,Yes,None
51,None,TalkBack.Year1.Benson.Fall.121019,21,I heard it,None
52,None,TalkBack.Year1.Benson.Fall.121019,21,I heard you say 56 and  thinking through,None
53,None,TalkBack.Year1.Benson.Fall.121019,21,20 times 40,Pressing for Accuracy
55,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,23,Why Clayton,Pressing for Reasoning
56,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,23,Why not 80,Pressing for Reasoning
58,None,TalkBack.Year1.Benson.Fall.121019,25,Okay,None
59,Revoicing,TalkBack.Year1.Benson.Fall.121019,25,Basic fact in there,None
60,Revoicing,TalkBack.Year1.Benson.Fall.121019,25,Two extra zeros added in there,Revoicing
61,None,TalkBack.Year1.Benson.Fall.121019,25,70 times 40,Pressing for Accuracy
63,None,TalkBack.Year1.Benson.Fall.121019,27,9 times 30,Pressing for Accuracy
65,None,TalkBack.Year1.Benson.Fall.121019,29,60 times 800,Pressing for Accuracy
68,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,31,Why 48000 and not 4800,Pressing for Reasoning
69,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,31,Matt why not,Pressing for Reasoning
71,Revoicing,TalkBack.Year1.Benson.Fall.121019,33,4 extra zeros to your basic fact,Restating
72,None,TalkBack.Year1.Benson.Fall.121019,33,600 times 40,Pressing for Accuracy
77,Restating,TalkBack.Year1.Benson.Fall.121019,38,I heard that 24000,None
78,None,TalkBack.Year1.Benson.Fall.121019,38,900 times 9,Pressing for Accuracy
81,Restating,TalkBack.Year1.Benson.Fall.121019,41,Oh I hear 8100,None
82,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,41,I hear 81 000 Whos correct,Pressing for Accuracy
84,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,43,Why,Pressing for Reasoning
85,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,43,Why is it not 81000,Pressing for Reasoning
87,Restating,TalkBack.Year1.Benson.Fall.121019,45,Two zeros,Restating
88,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,45,So if I write product for my basic fact David how many zeros should I add to the end of that,Pressing for Accuracy
91,Pressing for Accuracy,TalkBack.Year1.Benson.Fall.121019,48,Do you revise your thinking,Keeping Everyone Together
92,None,TalkBack.Year1.Benson.Fall.121019,48,Yes,None
94,None,TalkBack.Year1.Benson.Fall.121019,50,It was following a pattern and then it messed you up didnt it,Keeping Everyone Together
96,None,TalkBack.Year1.Benson.Fall.121019,52,All right,None
97,None,TalkBack.Year1.Benson.Fall.121019,52,You may erase yes,None
98,None,TalkBack.Year1.Benson.Fall.121019,52,Erase your whiteboard,None
99,None,TalkBack.Year1.Benson.Fall.121019,52,Hi,None
100,None,TalkBack.Year1.Benson.Fall.121019,52,On your math journal on the top two problems Thank you,None
101,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,53,Whats different from the problem that were looking at compared to what weve been doing,Pressing for Accuracy
102,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,53,Jesse whats different about this problem,Pressing for Accuracy
103,Restating,TalkBack.Year1.Benson.Fall.121019,53,Its multiplication,None
104,Pressing for Reasoning,TalkBack.Year1.Benson.Fall.121019,53,Weve been working on multiplication all unit long so whats different about this,Pressing for Accuracy
106,Revoicing,TalkBack.Year1.Benson.Fall.121019,55,Were doing a twodigit number times a twodigit number,Restating
1016,None,TalkBack.Year1.Benson.Spring.011320,294,It might be part of another,None
1017,None,TalkBack.Year1.Benson.Spring.011320,294,What we would consider a shape,None
1018,None,TalkBack.Year1.Benson.Spring.011320,294,Right now this is a whole thing,None
1019,None,TalkBack.Year1.Benson.Spring.011320,294,Lets pretend were buying a new couch like a fancy aerodynamic couch,None
1020,None,TalkBack.Year1.Benson.Spring.011320,294,This might be the whole shape of the couch,None
1021,None,TalkBack.Year1.Benson.Spring.011320,294,And we want 34 of it to be in white leather and the other 14 in a different color leather,None
1023,Restating,TalkBack.Year1.Benson.Spring.011320,296,Red leather okay,Keeping Everyone Together
1024,None,TalkBack.Year1.Benson.Spring.011320,296,So that whole is not a full circle but we would still have to be able to figure out a fraction of it,None
