Prompt,Model,Code,N_Truth,N_Pred,Accuracy,Kappa
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Revoicing,242,409,0.9638348362600855,0.3973518425291016
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Restating,138,166,0.9918367346938776,0.7129995210375989
TalkMoves_Teacher_ZeroShot,openai.o3,None,7047,7169,0.8183030187601181,0.584682000226772
TalkMoves_Teacher_ZeroShot,openai.o3,Getting Students to Relate to Another's Ideas,156,208,0.9868583944386249,0.6143312464670357
TalkMoves_Teacher_ZeroShot,openai.o3,Keeping Everyone Together,1428,622,0.849919055328064,0.16207300450041537
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Accuracy,1366,1171,0.903342538805828,0.5453213726808853
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Reasoning,124,768,0.9384820493286353,0.26075309477718384
TalkMoves_Teacher_ZeroShot,openai.o3,Revoicing,242,367,0.9631463670126654,0.3463772547113544
TalkMoves_Teacher_ZeroShot,openai.o3,Restating,138,195,0.9892391200838015,0.6553562243302594
TalkMoves_Teacher_ZeroShot,openai.o3,Getting Students to Relate to Anothers Ideas,0,1,0.999904770974193,0
